group,rows,actual_approval_rate,predicted_approval_rate,accuracy,false_positive_rate,false_negative_rate
Female,71,0.323943661971831,0.3380281690140845,0.9859154929577465,0.020833333333333332,0.0
Male,110,0.3090909090909091,0.34545454545454546,0.9454545454545454,0.06578947368421052,0.029411764705882353
